episode,mean_reward,total_reward,decay_factor,shaped_reward_first_step,sparse_reward_first_step,evaluation_reward_greedy,moving_avg_train_reward
0,0.0,0.0,1.0,0,0,0.0,0.0
1,0.07499375,29.9975,0.9999166666666667,0,0,0.0,0.0
2,0.0,0.0,0.9998333333333334,0,0,0.0,14.99875
3,0.07498125,29.9925,0.99975,0,0,0.0,9.999166666666666
4,0.0,0.0,0.9996666666666667,0,0,0.0,14.997499999999999
5,0.0,0.0,0.9995833333333334,0,0,0.0,11.998
6,0.0,0.0,0.9995,0,0,0.0,9.998333333333333
7,0.0,0.0,0.9994166666666666,0,0,0.0,8.569999999999999
8,0.07495,29.98,0.9993333333333333,0,0,0.0,7.498749999999999
9,0.1498875,59.955,0.99925,0,0,0.0,9.996666666666666
10,0.07493749999999999,29.974999999999998,0.9991666666666666,0,0,0.0,14.992500000000001
11,0.22479375000000001,89.9175,0.9990833333333333,0,0,0.0,16.354545454545455
12,0.07492499999999999,29.97,0.999,0,0,0.0,22.484791666666666
13,0.07491875,29.9675,0.9989166666666667,0,0,0.0,23.060576923076926
14,0.0,0.0,0.9988333333333334,0,0,0.0,23.55392857142857
15,0.14981250000000002,59.925000000000004,0.99875,0,0,0.0,21.983666666666668
16,0.07490000000000001,29.96,0.9986666666666667,0,0,0.0,24.355
17,0.07489375000000001,29.957500000000003,0.9985833333333334,0,0,0.0,24.68470588235294
18,0.14977500000000002,59.910000000000004,0.9985,0,0,0.0,24.977638888888887
19,0.1497625,59.904999999999994,0.9984166666666666,0,0,0.0,26.816184210526316
20,0.0,0.0,0.9983333333333333,0,0,0.0,28.470625000000002
21,0.07486875,29.947499999999998,0.99825,0,0,0.0,27.114880952380954
22,0.0,0.0,0.9981666666666666,0,0,0.0,27.243636363636366
23,0.22456875,89.8275,0.9980833333333333,0,0,0.0,26.05913043478261
24,0.1497,59.88,0.998,0,0,0.0,28.716145833333332
25,0.1496875,59.875,0.9979166666666667,0,0,0.0,29.962699999999998
26,0.0748375,29.935000000000002,0.9978333333333333,0,0,0.0,31.113173076923076
