episode,mean_reward,total_reward,decay_factor,evaluation_reward_greedy_mean,evaluation_reward_greedy_std,moving_avg_train_reward,total_shaped_reward,total_sparse_reward,moving_avg_shaped_reward,moving_avg_sparse_reward
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,0.07499375,29.9975,0.9999166666666667,0.0,0.0,14.99875,30.0,0,15.0,0.0
2,0.0,0.0,0.9998333333333334,0.0,0.0,9.999166666666666,0.0,0,10.0,0.0
3,0.0,0.0,0.99975,0.0,0.0,7.499375,0.0,0,7.5,0.0
4,0.0,0.0,0.9996666666666667,0.0,0.0,5.999499999999999,0.0,0,6.0,0.0
5,0.0,0.0,0.9995833333333334,0.0,0.0,4.999583333333333,0.0,0,5.0,0.0
6,0.0,0.0,0.9995,0.0,0.0,4.285357142857142,0.0,0,4.285714285714286,0.0
7,0.07495625,29.982499999999998,0.9994166666666666,0.0,0.0,7.4975,30.0,0,7.5,0.0
8,0.0,0.0,0.9993333333333333,0.0,0.0,6.664444444444444,0.0,0,6.666666666666667,0.0
9,0.0,0.0,0.99925,0.0,0.0,5.997999999999999,0.0,0,6.0,0.0
10,0.0,0.0,0.9991666666666666,0.0,0.0,5.452727272727272,0.0,0,5.454545454545454,0.0
11,0.07493125,29.9725,0.9990833333333333,0.0,0.0,7.496041666666667,30.0,0,7.5,0.0
12,0.0,0.0,0.999,0.0,0.0,6.919423076923077,0.0,0,6.923076923076923,0.0
13,0.0,0.0,0.9989166666666667,0.0,0.0,6.425178571428572,0.0,0,6.428571428571429,0.0
14,0.0,0.0,0.9988333333333334,0.0,0.0,5.996833333333333,0.0,0,6.0,0.0
15,0.07490625000000001,29.962500000000002,0.99875,0.0,0.0,7.4946874999999995,30.0,0,7.5,0.0
16,0.0,0.0,0.9986666666666667,0.0,0.0,7.053823529411765,0.0,0,7.0588235294117645,0.0
17,0.0,0.0,0.9985833333333334,0.0,0.0,6.661944444444444,0.0,0,6.666666666666667,0.0
18,0.07488750000000001,29.955000000000002,0.9985,0.0,0.0,7.887894736842106,30.0,0,7.894736842105263,0.0
19,0.0,0.0,0.9984166666666666,0.0,0.0,7.4935,0.0,0,7.5,0.0
20,0.0,0.0,0.9983333333333333,0.0,0.0,7.136666666666667,0.0,0,7.142857142857143,0.0
21,0.0,0.0,0.99825,0.0,0.0,6.8122727272727275,0.0,0,6.818181818181818,0.0
22,0.0,0.0,0.9981666666666666,0.0,0.0,6.51608695652174,0.0,0,6.521739130434782,0.0
23,0.0,0.0,0.9980833333333333,0.0,0.0,6.244583333333334,0.0,0,6.25,0.0
24,0.0,0.0,0.998,0.0,0.0,5.994800000000001,0.0,0,6.0,0.0
25,0.0,0.0,0.9979166666666667,0.0,0.0,5.764230769230769,0.0,0,5.769230769230769,0.0
26,0.0748375,29.935000000000002,0.9978333333333333,0.0,0.0,6.6594444444444445,30.0,0,6.666666666666667,0.0
27,0.0,0.0,0.99775,0.0,0.0,6.421607142857143,0.0,0,6.428571428571429,0.0
28,0.074825,29.93,0.9976666666666667,0.0,0.0,7.232241379310345,30.0,0,7.241379310344827,0.0
29,0.0,0.0,0.9975833333333334,0.0,0.0,6.991166666666667,0.0,0,7.0,0.0
30,0.0,0.0,0.9975,0.0,0.0,6.7656451612903235,0.0,0,6.774193548387097,0.0
31,0.22441875,89.7675,0.9974166666666666,0.0,0.0,9.359453125,90.0,0,9.375,0.0
32,0.0,0.0,0.9973333333333333,0.0,0.0,9.075833333333334,0.0,0,9.090909090909092,0.0
33,0.0,0.0,0.99725,0.0,0.0,8.80889705882353,0.0,0,8.823529411764707,0.0
34,0.0,0.0,0.9971666666666666,0.0,0.0,8.557214285714286,0.0,0,8.571428571428571,0.0
35,0.19941666666666666,79.76666666666667,0.9970833333333333,0.0,0.0,10.535254629629629,80.0,0,10.555555555555555,0.0
36,0.074775,29.91,0.997,0.0,0.0,11.058896396396397,30.0,0,11.08108108108108,0.0
37,0.07476875,29.9075,0.9969166666666667,0.0,0.0,11.554912280701755,30.0,0,11.578947368421053,0.0
38,0.14952500000000002,59.81,0.9968333333333333,0.0,0.0,12.792222222222223,60.0,0,12.820512820512821,0.0
39,0.0,0.0,0.99675,0.0,0.0,12.472416666666666,0.0,0,12.5,0.0
40,0.0,0.0,0.9966666666666667,0.0,0.0,12.168211382113821,0.0,0,12.195121951219512,0.0
41,0.07474375,29.8975,0.9965833333333334,0.0,0.0,12.590337301587303,30.0,0,12.619047619047619,0.0
42,0.07473750000000001,29.895000000000003,0.9965,0.0,0.0,12.992771317829458,30.0,0,13.023255813953488,0.0
43,0.0,0.0,0.9964166666666666,0.0,0.0,12.69748106060606,0.0,0,12.727272727272727,0.0
44,0.0,0.0,0.9963333333333333,0.0,0.0,12.415314814814815,0.0,0,12.444444444444445,0.0
45,0.1494375,59.775,0.99625,0.0,0.0,13.444873188405797,60.0,0,13.478260869565217,0.0
46,0.0,0.0,0.9961666666666666,0.0,0.0,13.158812056737588,0.0,0,13.191489361702128,0.0
47,0.0,0.0,0.9960833333333333,0.0,0.0,12.884670138888888,0.0,0,12.916666666666666,0.0
48,0.0,0.0,0.996,0.0,0.0,12.62171768707483,0.0,0,12.653061224489797,0.0
49,0.07469375,29.8775,0.9959166666666667,0.0,0.0,12.966833333333334,30.0,0,13.0,0.0
50,0.0746875,29.875,0.9958333333333333,0.0,0.0,13.298366013071895,30.0,0,13.333333333333334,0.0
51,0.0,0.0,0.99575,0.0,0.0,13.042628205128207,0.0,0,13.076923076923077,0.0
52,0.0,0.0,0.9956666666666667,0.0,0.0,12.796540880503144,0.0,0,12.830188679245284,0.0
53,0.0,0.0,0.9955833333333334,0.0,0.0,12.55956790123457,0.0,0,12.592592592592593,0.0
54,0.0746625,29.865000000000002,0.9955,0.0,0.0,12.874212121212121,30.0,0,12.909090909090908,0.0
55,0.07465625,29.862499999999997,0.9954166666666666,0.0,0.0,13.177574404761904,30.0,0,13.214285714285714,0.0
56,0.0,0.0,0.9953333333333333,0.0,0.0,12.946388888888889,0.0,0,12.982456140350877,0.0
57,0.0,0.0,0.99525,0.0,0.0,12.723175287356321,0.0,0,12.758620689655173,0.0
58,0.0746375,29.855,0.9951666666666666,0.0,0.0,13.013545197740113,30.0,0,13.05084745762712,0.0
59,0.0,0.0,0.9950833333333333,0.0,0.0,12.796652777777778,0.0,0,12.833333333333334,0.0
60,0.22387500000000002,89.55000000000001,0.995,0.0,0.0,14.0549043715847,90.0,0,14.098360655737705,0.0
61,0.0,0.0,0.9949166666666667,0.0,0.0,13.828212365591398,0.0,0,13.870967741935484,0.0
62,0.0746125,29.845,0.9948333333333333,0.0,0.0,14.08244708994709,30.0,0,14.126984126984127,0.0
63,0.07460625,29.8425,0.99475,0.0,0.0,14.328697916666666,30.0,0,14.375,0.0
64,0.0746,29.84,0.9946666666666667,0.0,0.0,14.567333333333334,30.0,0,14.615384615384615,0.0
65,0.0,0.0,0.9945833333333334,0.0,0.0,14.346616161616161,0.0,0,14.393939393939394,0.0
66,0.0745875,29.835,0.9945,0.0,0.0,14.577786069651742,30.0,0,14.626865671641792,0.0
67,0.07458125,29.8325,0.9944166666666666,0.0,0.0,14.802120098039216,30.0,0,14.852941176470589,0.0
68,0.074575,29.83,0.9943333333333333,0.0,0.0,15.019915458937199,30.0,0,15.072463768115941,0.0
69,0.07456875,29.8275,0.99425,0.0,0.0,15.231452380952383,30.0,0,15.285714285714286,0.0
70,0.0,0.0,0.9941666666666666,0.0,0.0,15.01692488262911,0.0,0,15.070422535211268,0.0
71,0.0,0.0,0.9940833333333333,0.0,0.0,14.80835648148148,0.0,0,14.86111111111111,0.0
72,0.0,0.0,0.994,0.0,0.0,14.605502283105022,0.0,0,14.657534246575343,0.0
73,0.07454374999999999,29.8175,0.9939166666666667,0.0,0.0,14.81106981981982,30.0,0,14.864864864864865,0.0
74,0.0745375,29.815,0.9938333333333333,0.0,0.0,15.011122222222223,30.0,0,15.066666666666666,0.0
75,0.0,0.0,0.99375,0.0,0.0,14.813607456140351,0.0,0,14.868421052631579,0.0
76,0.14905000000000002,59.620000000000005,0.9936666666666667,0.0,0.0,15.39550865800866,60.0,0,15.454545454545455,0.0
77,0.14903750000000002,59.615,0.9935833333333334,0.0,0.0,15.962425213675216,60.0,0,16.025641025641026,0.0
