episode,layout,mean_reward,total_reward,decay_factor,evaluation_reward_greedy_mean,evaluation_reward_greedy_std,moving_avg_train_reward,total_shaped_reward,total_sparse_reward,moving_avg_shaped_reward,moving_avg_sparse_reward
0,asymmetric_advantages,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,forced_coordination,0.0,0.0,0.9999444444444444,0.0,0.0,0.0,0.0,0,0.0,0.0
2,cramped_room,0.14998333333333336,59.99333333333334,0.9998888888888889,0.0,0.0,19.99777777777778,60.0,0,20.0,0.0
3,forced_coordination,0.149975,59.99,0.9998333333333334,0.0,0.0,29.995833333333337,60.0,0,30.0,0.0
4,asymmetric_advantages,0.0,0.0,0.9997777777777778,0.0,0.0,23.99666666666667,0.0,0,24.0,0.0
5,asymmetric_advantages,0.0,0.0,0.9997222222222222,0.0,0.0,19.997222222222224,0.0,0,20.0,0.0
6,cramped_room,0.0,0.0,0.9996666666666667,0.0,0.0,17.140476190476193,0.0,0,17.142857142857142,0.0
7,forced_coordination,0.14994166666666667,59.97666666666667,0.9996111111111111,0.0,0.0,22.495,60.0,0,22.5,0.0
8,asymmetric_advantages,0.0,0.0,0.9995555555555555,0.0,0.0,19.995555555555555,0.0,0,20.0,0.0
9,forced_coordination,0.0749625,29.985000000000003,0.9995,0.0,0.0,20.994500000000002,30.0,0,21.0,0.0
10,asymmetric_advantages,0.0,0.0,0.9994444444444445,0.0,0.0,19.085909090909094,0.0,0,19.09090909090909,0.0
11,cramped_room,0.0,0.0,0.9993888888888889,0.0,0.0,17.495416666666667,0.0,0,17.5,0.0
12,asymmetric_advantages,0.1499,59.96,0.9993333333333333,0.0,0.0,20.76192307692308,60.0,0,20.76923076923077,0.0
13,forced_coordination,0.14989166666666667,59.95666666666667,0.9992777777777778,0.0,0.0,23.56154761904762,60.0,0,23.571428571428573,0.0
14,forced_coordination,0.14988333333333334,59.95333333333333,0.9992222222222222,0.0,0.0,25.987666666666666,60.0,0,26.0,0.0
15,forced_coordination,0.2248125,89.925,0.9991666666666666,0.0,0.0,29.983750000000004,90.0,0,30.0,0.0
16,forced_coordination,0.07493333333333334,29.973333333333333,0.9991111111111111,0.0,0.0,29.983137254901965,30.0,0,30.0,0.0
17,cramped_room,0.07492916666666667,29.971666666666668,0.9990555555555556,0.0,0.0,29.9825,30.0,0,30.0,0.0
18,forced_coordination,0.14984999999999998,59.94,0.999,0.0,0.0,31.55921052631579,60.0,0,31.57894736842105,0.0
19,cramped_room,0.14984166666666668,59.93666666666667,0.9989444444444444,0.0,0.0,32.97808333333334,60.0,0,33.0,0.0
20,asymmetric_advantages,0.0,0.0,0.9988888888888889,0.0,0.0,31.407698412698416,0.0,0,31.428571428571427,0.0
