episode,mean_reward,total_reward,decay_factor,shaped_reward_first_step,sparse_reward_first_step,evaluation_reward_greedy
0,0.0,0.0,1.0,0,0,0.0
1,0.03748125,14.992500000000001,0.9995,0,0,0.0
2,0.037462499999999996,14.985,0.999,0,0,0.0
3,0.0,0.0,0.9985,0,0,0.0
4,0.0,0.0,0.998,0,0,0.0
5,0.13715624999999998,54.8625,0.9975,0,0,0.0
6,0.074775,29.91,0.997,0,0,0.0
7,0.037368750000000006,14.947500000000002,0.9965,0,0,0.0
8,0.11225,44.9,0.996,0,0,0.0
9,0.11199375,44.7975,0.9955,0,0,0.0
10,0.0621875,24.875,0.995,0,0,0.0
11,0.0745875,29.835,0.9945,0,0,0.0
12,0.037275,14.91,0.994,0,0,0.0
13,0.0745125,29.805,0.9935,0,0,0.0
14,0.074475,29.79,0.993,0,0,0.0
15,0.06203125,24.8125,0.9925,0,0,0.0
16,0.0372,14.879999999999999,0.992,0,0,0.0
17,0.03718125,14.8725,0.9915,0,0,0.0
18,0.0,0.0,0.991,0,0,0.0
19,0.03714375,14.8575,0.9905,0,0,0.0
20,0.07425,29.7,0.99,0,0,0.0
21,0.0,0.0,0.9895,0,0,0.0
22,0.1359875,54.394999999999996,0.989,0,0,0.0
23,0.037068750000000004,14.8275,0.9885,0,0,0.0
24,0.0,0.0,0.988,0,0,0.0
25,0.0,0.0,0.9875,0,0,0.0
26,0.074025,29.61,0.987,0,0,0.0
27,0.0,0.0,0.9865,0,0,0.0
28,0.0,0.0,0.986,0,0,0.0
29,0.0739125,29.565,0.9855,0,0,0.0
30,0.09849999999999999,39.4,0.985,0,0,0.0
31,0.03691875,14.7675,0.9845,0,0,0.0
32,0.0,0.0,0.984,0,0,0.0
33,0.07376250000000001,29.505000000000003,0.9835,0,0,0.0
34,0.0368625,14.745,0.983,0,0,0.0
35,0.0,0.0,0.9825,0,0,0.0
36,0.036825000000000004,14.73,0.982,0,0,0.0
37,0.11041875000000001,44.167500000000004,0.9815,0,0,0.0
38,0.0,0.0,0.981,0,0,0.0
39,0.0735375,29.415000000000003,0.9805,0,0,0.0
40,0.03675,14.7,0.98,0,0,0.0
41,0.0,0.0,0.9795,0,0,0.0
42,0.0367125,14.685,0.979,0,0,0.0
43,0.13454375000000002,53.8175,0.9785,0,0,0.0
44,0.061125,24.45,0.978,0,0,0.0
45,0.03665625,14.662500000000001,0.9775,0,0,0.0
46,0.0,0.0,0.977,0,0,0.0
47,0.036618750000000005,14.6475,0.9765,0,0,0.0
48,0.0366,14.64,0.976,0,0,0.0
49,0.0,0.0,0.9755,0,0,0.0
50,0.073125,29.25,0.975,0,0,0.0
51,0.03654375,14.6175,0.9745,0,0,0.0
52,0.133925,53.56999999999999,0.974,0,0,0.0
53,0.036506250000000004,14.602500000000001,0.9735,0,0,0.0
54,0.0,0.0,0.973,0,0,0.0
55,0.0,0.0,0.9725,0,0,0.0
56,0.06075,24.3,0.972,0,0,0.0
57,0.0,0.0,0.9715,0,0,0.0
58,0.072825,29.13,0.971,0,0,0.0
59,0.03639375,14.557500000000001,0.9705,0,0,0.0
60,0.036375,14.549999999999999,0.97,0,0,0.0
61,0.03635625,14.5425,0.9695,0,0,0.0
62,0.072675,29.07,0.969,0,0,0.0
63,0.0726375,29.055,0.9685,0,0,0.0
64,0.0363,14.52,0.968,0,0,0.0
