episode,layout,mean_reward,total_reward,decay_factor,evaluation_reward_greedy_mean,evaluation_reward_greedy_std,moving_avg_train_reward,total_shaped_reward,total_sparse_reward,moving_avg_shaped_reward,moving_avg_sparse_reward
0,forced_coordination,0.075,30.0,1.0,0.0,0.0,30.0,30.0,0,30.0,0.0
1,forced_coordination,0.0,0.0,0.9999166666666667,0.0,0.0,15.0,0.0,0,15.0,0.0
2,cramped_room,0.0749875,29.995,0.9998333333333334,0.0,0.0,19.998333333333335,30.0,0,20.0,0.0
3,cramped_room,0.07498125,29.9925,0.99975,0.0,0.0,22.496875000000003,30.0,0,22.5,0.0
4,forced_coordination,0.0,0.0,0.9996666666666667,0.0,0.0,17.997500000000002,0.0,0,18.0,0.0
5,cramped_room,0.1499375,59.975,0.9995833333333334,0.0,0.0,24.993750000000002,60.0,0,25.0,0.0
6,cramped_room,0.0,0.0,0.9995,0.0,0.0,21.423214285714288,0.0,0,21.428571428571427,0.0
7,asymmetric_advantages,0.1499125,59.964999999999996,0.9994166666666666,0.0,0.0,26.2409375,60.0,0,26.25,0.0
8,asymmetric_advantages,0.27481666666666665,109.92666666666666,0.9993333333333333,0.0,0.0,35.539351851851855,110.0,0,35.55555555555556,0.0
9,asymmetric_advantages,0.22483125,89.9325,0.99925,0.0,0.0,40.97866666666667,90.0,0,41.0,0.0
10,forced_coordination,0.07493749999999999,29.974999999999998,0.9991666666666666,0.0,0.0,39.97833333333334,30.0,0,40.0,0.0
11,forced_coordination,0.1498625,59.945,0.9990833333333333,0.0,0.0,41.64222222222222,60.0,0,41.666666666666664,0.0
12,asymmetric_advantages,0.07492499999999999,29.97,0.999,0.0,0.0,40.74435897435898,30.0,0,40.76923076923077,0.0
13,forced_coordination,0.07491875,29.9675,0.9989166666666667,0.0,0.0,39.974583333333335,30.0,0,40.0,0.0
14,forced_coordination,0.07491249999999999,29.965,0.9988333333333334,0.0,0.0,39.307277777777784,30.0,0,39.333333333333336,0.0
15,cramped_room,0.0,0.0,0.99875,0.0,0.0,36.850572916666664,0.0,0,36.875,0.0
16,asymmetric_advantages,0.0,0.0,0.9986666666666667,0.0,0.0,34.68289215686274,0.0,0,34.705882352941174,0.0
17,cramped_room,0.07489375000000001,29.957500000000003,0.9985833333333334,0.0,0.0,34.420370370370364,30.0,0,34.44444444444444,0.0
18,cramped_room,0.0,0.0,0.9985,0.0,0.0,32.608771929824556,0.0,0,32.63157894736842,0.0
19,cramped_room,0.1497625,59.904999999999994,0.9984166666666666,0.0,0.0,33.97358333333333,60.0,0,34.0,0.0
20,cramped_room,0.074875,29.95,0.9983333333333333,0.0,0.0,33.78198412698413,30.0,0,33.80952380952381,0.0
21,forced_coordination,0.07486875,29.947499999999998,0.99825,0.0,0.0,33.60768939393939,30.0,0,33.63636363636363,0.0
22,cramped_room,0.0748625,29.945,0.9981666666666666,0.0,0.0,33.448442028985504,30.0,0,33.47826086956522,0.0
23,asymmetric_advantages,0.1497125,59.885,0.9980833333333333,0.0,0.0,34.54996527777778,60.0,0,34.583333333333336,0.0
24,cramped_room,0.0,0.0,0.998,0.0,0.0,33.16796666666667,0.0,0,33.2,0.0
25,cramped_room,0.2744270833333334,109.77083333333334,0.9979166666666667,0.0,0.0,36.11423076923077,110.0,0,36.15384615384615,0.0
26,forced_coordination,0.0,0.0,0.9978333333333333,0.0,0.0,34.77666666666667,0.0,0,34.81481481481482,0.0
27,asymmetric_advantages,0.22449375,89.7975,0.99775,0.0,0.0,36.74169642857144,90.0,0,36.785714285714285,0.0
28,cramped_room,0.14965,59.86,0.9976666666666667,0.0,0.0,37.53887931034483,60.0,0,37.58620689655172,0.0
29,cramped_room,0.0,0.0,0.9975833333333334,0.0,0.0,36.28758333333334,0.0,0,36.333333333333336,0.0
30,asymmetric_advantages,0.0748125,29.925,0.9975,0.0,0.0,36.08233870967742,30.0,0,36.12903225806452,0.0
31,asymmetric_advantages,0.0,0.0,0.9974166666666666,0.0,0.0,34.954765625,0.0,0,35.0,0.0
32,cramped_room,0.07479999999999999,29.919999999999998,0.9973333333333333,0.0,0.0,34.80219696969697,30.0,0,34.84848484848485,0.0
33,forced_coordination,0.1495875,59.835,0.99725,0.0,0.0,35.53845588235294,60.0,0,35.588235294117645,0.0
34,forced_coordination,0.07478749999999999,29.915,0.9971666666666666,0.0,0.0,35.377785714285714,30.0,0,35.42857142857143,0.0
35,asymmetric_advantages,0.07478125000000001,29.9125,0.9970833333333333,0.0,0.0,35.225972222222225,30.0,0,35.27777777777778,0.0
36,asymmetric_advantages,0.14955,59.82,0.997,0.0,0.0,35.89067567567567,60.0,0,35.945945945945944,0.0
37,forced_coordination,0.22430624999999998,89.7225,0.9969166666666667,0.0,0.0,37.30730263157895,90.0,0,37.36842105263158,0.0
38,asymmetric_advantages,0.07476250000000001,29.905,0.9968333333333333,0.0,0.0,37.1175,30.0,0,37.17948717948718,0.0
39,forced_coordination,0.1495125,59.805,0.99675,0.0,0.0,37.684687499999995,60.0,0,37.75,0.0
40,forced_coordination,0.07475000000000001,29.900000000000002,0.9966666666666667,0.0,0.0,37.49481707317073,30.0,0,37.5609756097561,0.0
41,asymmetric_advantages,0.1494875,59.795,0.9965833333333334,0.0,0.0,38.02577380952381,60.0,0,38.095238095238095,0.0
42,forced_coordination,0.14947500000000002,59.790000000000006,0.9965,0.0,0.0,38.53191860465116,60.0,0,38.604651162790695,0.0
43,cramped_room,0.1494625,59.785,0.9964166666666666,0.0,0.0,39.01494318181818,60.0,0,39.09090909090909,0.0
44,cramped_room,0.074725,29.89,0.9963333333333333,0.0,0.0,38.81216666666667,30.0,0,38.888888888888886,0.0
45,cramped_room,0.19925,79.7,0.99625,0.0,0.0,39.701032608695655,80.0,0,39.78260869565217,0.0
46,cramped_room,0.0,0.0,0.9961666666666666,0.0,0.0,38.856329787234046,0.0,0,38.93617021276596,0.0
47,forced_coordination,0.22411875000000003,89.64750000000001,0.9960833333333333,0.0,0.0,39.914479166666666,90.0,0,40.0,0.0
48,cramped_room,0.0,0.0,0.996,0.0,0.0,39.09989795918367,0.0,0,39.183673469387756,0.0
49,forced_coordination,0.2738770833333333,109.55083333333334,0.9959166666666667,0.0,0.0,40.508916666666664,110.0,0,40.6,0.0
50,cramped_room,0.0746875,29.875,0.9958333333333333,0.0,0.0,40.300408496732025,30.0,0,40.3921568627451,0.0
51,cramped_room,0.0,0.0,0.99575,0.0,0.0,39.52540064102564,0.0,0,39.61538461538461,0.0
52,asymmetric_advantages,0.074675,29.87,0.9956666666666667,0.0,0.0,39.34322327044025,30.0,0,39.43396226415094,0.0
53,asymmetric_advantages,0.0,0.0,0.9955833333333334,0.0,0.0,38.61464506172839,0.0,0,38.7037037037037,0.0
54,cramped_room,0.0,0.0,0.9955,0.0,0.0,37.9125606060606,0.0,0,38.0,0.0
55,forced_coordination,0.1493125,59.724999999999994,0.9954166666666666,0.0,0.0,38.30206845238096,60.0,0,38.392857142857146,0.0
56,forced_coordination,0.1493,59.72,0.9953333333333333,0.0,0.0,38.6778216374269,60.0,0,38.771929824561404,0.0
57,cramped_room,0.07464375,29.857499999999998,0.99525,0.0,0.0,38.525747126436784,30.0,0,38.62068965517241,0.0
58,asymmetric_advantages,0.0746375,29.855,0.9951666666666666,0.0,0.0,38.378785310734465,30.0,0,38.47457627118644,0.0
59,cramped_room,0.0,0.0,0.9950833333333333,0.0,0.0,37.73913888888889,0.0,0,37.833333333333336,0.0
60,forced_coordination,0.14925,59.7,0.995,0.0,0.0,38.09915300546448,60.0,0,38.19672131147541,0.0
61,asymmetric_advantages,0.1492375,59.695,0.9949166666666667,0.0,0.0,38.44747311827957,60.0,0,38.54838709677419,0.0
62,forced_coordination,0.149225,59.69,0.9948333333333333,0.0,0.0,38.784656084656085,60.0,0,38.888888888888886,0.0
63,cramped_room,0.07460625,29.8425,0.99475,0.0,0.0,38.64493489583333,30.0,0,38.75,0.0
64,asymmetric_advantages,0.0746,29.84,0.9946666666666667,0.0,0.0,38.50947435897436,30.0,0,38.61538461538461,0.0
65,asymmetric_advantages,0.07459375,29.837500000000002,0.9945833333333334,0.0,0.0,38.37808080808081,30.0,0,38.484848484848484,0.0
66,forced_coordination,0.149175,59.67,0.9945,0.0,0.0,38.695870646766174,60.0,0,38.80597014925373,0.0
67,cramped_room,0.07458125,29.8325,0.9944166666666666,0.0,0.0,38.56552696078432,30.0,0,38.6764705882353,0.0
68,forced_coordination,0.14915,59.66,0.9943333333333333,0.0,0.0,38.871243961352654,60.0,0,38.98550724637681,0.0
69,cramped_room,0.0,0.0,0.99425,0.0,0.0,38.31594047619048,0.0,0,38.42857142857143,0.0
70,forced_coordination,0.149125,59.65,0.9941666666666666,0.0,0.0,38.61642018779343,60.0,0,38.732394366197184,0.0
71,cramped_room,0.0,0.0,0.9940833333333333,0.0,0.0,38.08008101851852,0.0,0,38.19444444444444,0.0
72,asymmetric_advantages,0.1491,59.64,0.994,0.0,0.0,38.37542237442922,60.0,0,38.49315068493151,0.0
73,forced_coordination,0.14908749999999998,59.635,0.9939166666666667,0.0,0.0,38.66271396396397,60.0,0,38.78378378378378,0.0
74,asymmetric_advantages,0.149075,59.63,0.9938333333333333,0.0,0.0,38.94227777777778,60.0,0,39.06666666666667,0.0
75,cramped_room,0.0,0.0,0.99375,0.0,0.0,38.42987938596492,0.0,0,38.55263157894737,0.0
76,cramped_room,0.0,0.0,0.9936666666666667,0.0,0.0,37.930790043290045,0.0,0,38.05194805194805,0.0
77,forced_coordination,0.14903750000000002,59.615,0.9935833333333334,0.0,0.0,38.208792735042735,60.0,0,38.333333333333336,0.0
78,forced_coordination,0.149025,59.61,0.9935,0.0,0.0,38.479694092827,60.0,0,38.607594936708864,0.0
79,asymmetric_advantages,0.1490125,59.605,0.9934166666666666,0.0,0.0,38.74376041666667,60.0,0,38.875,0.0
80,cramped_room,0.0,0.0,0.9933333333333333,0.0,0.0,38.265442386831275,0.0,0,38.39506172839506,0.0
81,forced_coordination,0.1489875,59.595,0.99325,0.0,0.0,38.52555894308943,60.0,0,38.65853658536585,0.0
82,cramped_room,0.0,0.0,0.9931666666666666,0.0,0.0,38.06139558232932,0.0,0,38.19277108433735,0.0
83,cramped_room,0.2730979166666667,109.23916666666668,0.9930833333333333,0.0,0.0,38.90875,110.0,0,39.04761904761905,0.0
84,asymmetric_advantages,0.223425,89.37,0.993,0.0,0.0,39.50241176470588,90.0,0,39.64705882352941,0.0
85,cramped_room,0.0,0.0,0.9929166666666667,0.0,0.0,39.043081395348835,0.0,0,39.18604651162791,0.0
86,forced_coordination,0.148925,59.57,0.9928333333333333,0.0,0.0,39.27902298850575,60.0,0,39.42528735632184,0.0
87,asymmetric_advantages,0.1489125,59.565,0.99275,0.0,0.0,39.50954545454545,60.0,0,39.65909090909091,0.0
88,forced_coordination,0.1489,59.56,0.9926666666666667,0.0,0.0,39.73483146067416,60.0,0,39.8876404494382,0.0
89,forced_coordination,0.1488875,59.555,0.9925833333333334,0.0,0.0,39.95505555555555,60.0,0,40.111111111111114,0.0
90,cramped_room,0.0744375,29.775000000000002,0.9925,0.0,0.0,39.84318681318681,30.0,0,40.0,0.0
91,forced_coordination,0.14886249999999998,59.544999999999995,0.9924166666666666,0.0,0.0,40.05733695652174,60.0,0,40.21739130434783,0.0
92,cramped_room,0.0,0.0,0.9923333333333333,0.0,0.0,39.626612903225805,0.0,0,39.784946236559136,0.0
93,forced_coordination,0.14883749999999998,59.535,0.99225,0.0,0.0,39.83840425531915,60.0,0,40.0,0.0
94,asymmetric_advantages,0.148825,59.53,0.9921666666666666,0.0,0.0,40.04568421052632,60.0,0,40.21052631578947,0.0
95,forced_coordination,0.07440625,29.7625,0.9920833333333333,0.0,0.0,39.93856770833333,30.0,0,40.104166666666664,0.0
96,cramped_room,0.1488,59.519999999999996,0.992,0.0,0.0,40.1404381443299,60.0,0,40.30927835051546,0.0
97,cramped_room,0.0,0.0,0.9919166666666667,0.0,0.0,39.73084183673469,0.0,0,39.89795918367347,0.0
98,forced_coordination,0.148775,59.51,0.9918333333333333,0.0,0.0,39.930631313131315,60.0,0,40.101010101010104,0.0
99,asymmetric_advantages,0.29752500000000004,119.01,0.99175,0.0,0.0,40.721425,120.0,0,40.9,0.0
100,asymmetric_advantages,0.223125,89.25,0.9916666666666667,0.0,0.0,41.313925,90.0,0,41.5,0.0
101,forced_coordination,0.07436875000000001,29.747500000000002,0.9915833333333334,0.0,0.0,41.6114,30.0,0,41.8,0.0
102,asymmetric_advantages,0.148725,59.49,0.9915,0.0,0.0,41.90635,60.0,0,42.1,0.0
103,asymmetric_advantages,0.297425,118.97,0.9914166666666666,0.0,0.0,42.796125,120.0,0,43.0,0.0
104,cramped_room,0.07435,29.74,0.9913333333333333,0.0,0.0,43.093525,30.0,0,43.3,0.0
105,cramped_room,0.0,0.0,0.99125,0.0,0.0,42.493775,0.0,0,42.7,0.0
106,forced_coordination,0.148675,59.47,0.9911666666666666,0.0,0.0,43.088474999999995,60.0,0,43.3,0.0
107,asymmetric_advantages,0.1486625,59.464999999999996,0.9910833333333333,0.0,0.0,43.08347500000001,60.0,0,43.3,0.0
108,cramped_room,0.19820000000000002,79.28,0.991,0.0,0.0,42.777008333333335,80.0,0,43.0,0.0
109,asymmetric_advantages,0.22295625000000002,89.1825,0.9909166666666667,0.0,0.0,42.76950833333333,90.0,0,43.0,0.0
110,cramped_room,0.32202083333333337,128.80833333333334,0.9908333333333333,0.0,0.0,43.757841666666664,130.0,0,44.0,0.0
111,cramped_room,0.0,0.0,0.99075,0.0,0.0,43.15839166666667,0.0,0,43.4,0.0
112,asymmetric_advantages,0.1486,59.440000000000005,0.9906666666666667,0.0,0.0,43.45309166666666,60.0,0,43.7,0.0
113,asymmetric_advantages,0.297175,118.87,0.9905833333333334,0.0,0.0,44.34211666666666,120.0,0,44.6,0.0
114,forced_coordination,0.148575,59.43,0.9905,0.0,0.0,44.63676666666666,60.0,0,44.9,0.0
115,cramped_room,0.19808333333333333,79.23333333333333,0.9904166666666667,0.0,0.0,45.4291,80.0,0,45.7,0.0
116,forced_coordination,0.074275,29.709999999999997,0.9903333333333333,0.0,0.0,45.726200000000006,30.0,0,46.0,0.0
117,cramped_room,0.27231875,108.9275,0.99025,0.0,0.0,46.5159,110.0,0,46.8,0.0
118,forced_coordination,0.0742625,29.705,0.9901666666666666,0.0,0.0,46.812949999999994,30.0,0,47.1,0.0
119,cramped_room,0.19801666666666665,79.20666666666666,0.9900833333333333,0.0,0.0,47.00596666666667,80.0,0,47.3,0.0
120,cramped_room,0.12375,49.5,0.99,0.0,0.0,47.201466666666676,50.0,0,47.5,0.0
121,asymmetric_advantages,0.34647083333333334,138.58833333333334,0.9899166666666667,0.0,0.0,48.28787499999999,140.0,0,48.6,0.0
122,asymmetric_advantages,0.148475,59.39,0.9898333333333333,0.0,0.0,48.582325,60.0,0,48.9,0.0
123,asymmetric_advantages,0.0,0.0,0.98975,0.0,0.0,47.983475,0.0,0,48.3,0.0
124,forced_coordination,0.074225,29.69,0.9896666666666667,0.0,0.0,48.28037500000001,30.0,0,48.6,0.0
125,cramped_room,0.19791666666666669,79.16666666666667,0.9895833333333334,0.0,0.0,47.974333333333334,80.0,0,48.3,0.0
126,cramped_room,0.0742125,29.685000000000002,0.9895,0.0,0.0,48.27118333333334,30.0,0,48.6,0.0
127,forced_coordination,0.14841249999999997,59.364999999999995,0.9894166666666666,0.0,0.0,47.96685833333333,60.0,0,48.3,0.0
128,asymmetric_advantages,0.0,0.0,0.9893333333333333,0.0,0.0,47.368258333333344,0.0,0,47.7,0.0
129,forced_coordination,0.07419375,29.6775,0.98925,0.0,0.0,47.665033333333334,30.0,0,48.0,0.0
130,cramped_room,0.148375,59.35,0.9891666666666666,0.0,0.0,47.95928333333333,60.0,0,48.3,0.0
131,asymmetric_advantages,0.0,0.0,0.9890833333333333,0.0,0.0,47.95928333333333,0.0,0,48.3,0.0
132,asymmetric_advantages,0.0,0.0,0.989,0.0,0.0,47.66008333333333,0.0,0,48.0,0.0
133,forced_coordination,0.2719520833333333,108.78083333333333,0.9889166666666667,0.0,0.0,48.14954166666667,110.0,0,48.5,0.0
134,asymmetric_advantages,0.0,0.0,0.9888333333333333,0.0,0.0,47.85039166666667,0.0,0,48.2,0.0
135,forced_coordination,0.0,0.0,0.98875,0.0,0.0,47.55126666666667,0.0,0,47.9,0.0
136,asymmetric_advantages,0.1483,59.32,0.9886666666666667,0.0,0.0,47.54626666666666,60.0,0,47.9,0.0
137,cramped_room,0.39600416666666666,158.40166666666667,0.9885833333333334,0.0,0.0,48.23305833333334,140.0,20,48.4,0.2
138,forced_coordination,0.07413750000000001,29.655,0.9885,0.0,0.0,48.23055833333333,30.0,0,48.4,0.2
139,forced_coordination,0.07413125000000001,29.652500000000003,0.9884166666666667,0.0,0.0,47.92903333333333,30.0,0,48.1,0.2
140,cramped_room,0.0,0.0,0.9883333333333333,0.0,0.0,47.63003333333333,0.0,0,47.8,0.2
141,asymmetric_advantages,0.0,0.0,0.98825,0.0,0.0,47.03208333333333,0.0,0,47.2,0.2
142,cramped_room,0.4199708333333333,167.98833333333334,0.9881666666666666,0.0,0.0,48.114066666666666,170.0,0,48.3,0.2
143,asymmetric_advantages,0.0,0.0,0.9880833333333333,0.0,0.0,47.51621666666667,0.0,0,47.7,0.2
144,cramped_room,0.0741,29.64,0.988,0.0,0.0,47.51371666666667,30.0,0,47.7,0.2
145,cramped_room,0.1481875,59.275,0.9879166666666667,0.0,0.0,47.309466666666665,60.0,0,47.5,0.2
146,asymmetric_advantages,0.0740875,29.635,0.9878333333333333,0.0,0.0,47.60581666666667,30.0,0,47.8,0.2
147,forced_coordination,0.07408125,29.6325,0.98775,0.0,0.0,47.00566666666666,30.0,0,47.2,0.2
148,forced_coordination,0.074075,29.630000000000003,0.9876666666666667,0.0,0.0,47.30196666666666,30.0,0,47.5,0.2
149,asymmetric_advantages,0.07406875,29.6275,0.9875833333333334,0.0,0.0,46.502733333333325,30.0,0,46.7,0.2
150,asymmetric_advantages,0.148125,59.25,0.9875,0.0,0.0,46.79648333333333,60.0,0,47.0,0.2
151,forced_coordination,0.1481125,59.245000000000005,0.9874166666666667,0.0,0.0,47.38893333333333,60.0,0,47.6,0.2
152,asymmetric_advantages,0.0,0.0,0.9873333333333333,0.0,0.0,47.09023333333332,0.0,0,47.3,0.2
153,cramped_room,0.07404375,29.6175,0.98725,0.0,0.0,47.386408333333335,30.0,0,47.6,0.2
154,cramped_room,0.07403749999999999,29.615,0.9871666666666666,0.0,0.0,47.68255833333333,30.0,0,47.9,0.2
155,asymmetric_advantages,0.34547916666666667,138.19166666666666,0.9870833333333333,0.0,0.0,48.467225,140.0,0,48.7,0.2
156,asymmetric_advantages,0.14805,59.22,0.987,0.0,0.0,48.462225,60.0,0,48.7,0.2
157,forced_coordination,0.07401875000000001,29.6075,0.9869166666666667,0.0,0.0,48.459725,30.0,0,48.7,0.2
158,cramped_room,0.0,0.0,0.9868333333333333,0.0,0.0,48.161175,0.0,0,48.4,0.2
159,forced_coordination,0.0,0.0,0.98675,0.0,0.0,48.161175,0.0,0,48.4,0.2
160,forced_coordination,0.3453333333333333,138.13333333333335,0.9866666666666667,0.0,0.0,48.94550833333333,140.0,0,49.2,0.2
161,forced_coordination,0.0,0.0,0.9865833333333334,0.0,0.0,48.34855833333333,0.0,0,48.6,0.2
162,asymmetric_advantages,0.0,0.0,0.9865,0.0,0.0,47.751658333333324,0.0,0,48.0,0.2
163,asymmetric_advantages,0.0,0.0,0.9864166666666667,0.0,0.0,47.45323333333334,0.0,0,47.7,0.2
164,cramped_room,0.12329166666666666,49.31666666666666,0.9863333333333333,0.0,0.0,47.648,50.0,0,47.9,0.2
165,cramped_room,0.0,0.0,0.98625,0.0,0.0,47.349625,0.0,0,47.6,0.2
166,asymmetric_advantages,0.147925,59.17,0.9861666666666666,0.0,0.0,47.34462499999999,60.0,0,47.6,0.2
167,asymmetric_advantages,0.27117291666666665,108.46916666666667,0.9860833333333333,0.0,0.0,48.13099166666667,110.0,0,48.4,0.2
168,asymmetric_advantages,0.34509999999999996,138.04,0.986,0.0,0.0,48.91479166666666,140.0,0,49.2,0.2
169,forced_coordination,0.19718333333333335,78.87333333333333,0.9859166666666667,0.0,0.0,49.703525,80.0,0,50.0,0.2
170,asymmetric_advantages,0.0739375,29.575,0.9858333333333333,0.0,0.0,49.40277499999999,30.0,0,49.7,0.2
171,asymmetric_advantages,0.27108125,108.4325,0.98575,0.0,0.0,50.48709999999999,110.0,0,50.8,0.2
172,cramped_room,0.12320833333333332,49.28333333333333,0.9856666666666667,0.0,0.0,50.383533333333325,50.0,0,50.7,0.2
173,cramped_room,0.07391875,29.567500000000003,0.9855833333333334,0.0,0.0,50.082858333333334,30.0,0,50.4,0.2
174,cramped_room,0.1971,78.84,0.9855,0.0,0.0,50.27495833333333,80.0,0,50.6,0.2
175,asymmetric_advantages,0.07390625,29.5625,0.9854166666666667,0.0,0.0,50.570583333333346,30.0,0,50.9,0.2
176,asymmetric_advantages,0.2709666666666667,108.38666666666666,0.9853333333333333,0.0,0.0,51.65445,110.0,0,52.0,0.2
177,cramped_room,0.0,0.0,0.98525,0.0,0.0,51.05829999999999,0.0,0,51.4,0.2
178,asymmetric_advantages,0.0,0.0,0.9851666666666666,0.0,0.0,50.462199999999996,0.0,0,50.8,0.2
179,forced_coordination,0.1477625,59.105,0.9850833333333333,0.0,0.0,50.457199999999986,60.0,0,50.8,0.2
180,asymmetric_advantages,0.073875,29.55,0.985,0.0,0.0,50.7527,30.0,0,51.1,0.2
181,forced_coordination,0.2708520833333333,108.34083333333334,0.9849166666666667,0.0,0.0,51.240158333333326,110.0,0,51.6,0.2
182,asymmetric_advantages,0.147725,59.09,0.9848333333333333,0.0,0.0,51.83105833333334,60.0,0,52.2,0.2
183,forced_coordination,0.0,0.0,0.98475,0.0,0.0,50.738666666666674,0.0,0,51.1,0.2
184,asymmetric_advantages,0.2707833333333333,108.31333333333333,0.9846666666666667,0.0,0.0,50.928100000000015,110.0,0,51.3,0.2
185,forced_coordination,0.27076041666666667,108.30416666666667,0.9845833333333334,0.0,0.0,52.011141666666674,110.0,0,52.4,0.2
186,cramped_room,0.2707375,108.295,0.9845,0.0,0.0,52.49839166666666,110.0,0,52.9,0.2
187,cramped_room,0.07383125,29.532500000000002,0.9844166666666667,0.0,0.0,52.19806666666668,30.0,0,52.6,0.2
188,asymmetric_advantages,0.27069166666666666,108.27666666666666,0.9843333333333333,0.0,0.0,52.685233333333336,110.0,0,53.1,0.2
189,forced_coordination,0.27066875,108.2675,0.98425,0.0,0.0,53.17235833333334,110.0,0,53.6,0.2
190,asymmetric_advantages,0.147625,59.05,0.9841666666666666,0.0,0.0,53.46510833333334,60.0,0,53.9,0.2
191,cramped_room,0.07380625,29.5225,0.9840833333333333,0.0,0.0,53.164883333333336,30.0,0,53.6,0.2
192,forced_coordination,0.1476,59.04,0.984,0.0,0.0,53.755283333333324,60.0,0,54.2,0.2
193,forced_coordination,0.14758749999999998,59.035,0.9839166666666667,0.0,0.0,53.750283333333336,60.0,0,54.2,0.2
194,cramped_room,0.0,0.0,0.9838333333333333,0.0,0.0,53.15498333333333,0.0,0,53.6,0.2
195,cramped_room,0.31971875,127.8875,0.98375,0.0,0.0,54.13623333333333,130.0,0,54.6,0.2
196,cramped_room,0.07377500000000001,29.51,0.9836666666666667,0.0,0.0,53.83613333333333,30.0,0,54.3,0.2
197,cramped_room,0.0,0.0,0.9835833333333334,0.0,0.0,53.836133333333336,0.0,0,54.3,0.2
198,cramped_room,0.1967,78.68,0.9835,0.0,0.0,54.02783333333334,80.0,0,54.5,0.2
199,asymmetric_advantages,0.27043958333333334,108.17583333333334,0.9834166666666667,0.0,0.0,53.91949166666668,110.0,0,54.4,0.2
200,asymmetric_advantages,0.0,0.0,0.9833333333333333,0.0,0.0,53.026991666666675,0.0,0,53.5,0.2
201,asymmetric_advantages,0.3441375,137.65499999999997,0.98325,0.0,0.0,54.10606666666666,140.0,0,54.6,0.2
202,asymmetric_advantages,0.0,0.0,0.9831666666666666,0.0,0.0,53.51116666666667,0.0,0,54.0,0.2
203,asymmetric_advantages,0.1474625,58.985,0.9830833333333333,0.0,0.0,52.911316666666664,60.0,0,53.4,0.2
204,cramped_room,0.122875,49.15,0.983,0.0,0.0,53.10541666666666,50.0,0,53.6,0.2
205,asymmetric_advantages,0.1474375,58.975,0.9829166666666667,0.0,0.0,53.695166666666665,60.0,0,54.2,0.2
206,forced_coordination,0.0,0.0,0.9828333333333333,0.0,0.0,53.10046666666666,0.0,0,53.6,0.2
207,asymmetric_advantages,0.3439625,137.585,0.98275,0.0,0.0,53.88166666666666,140.0,0,54.4,0.2
208,asymmetric_advantages,0.3439333333333333,137.57333333333332,0.9826666666666667,0.0,0.0,54.46460000000001,140.0,0,55.0,0.2
209,cramped_room,0.0,0.0,0.9825833333333334,0.0,0.0,53.572775,0.0,0,54.1,0.2
210,asymmetric_advantages,0.0,0.0,0.9825,0.0,0.0,52.28469166666667,0.0,0,52.8,0.2
211,forced_coordination,0.07368125,29.4725,0.9824166666666667,0.0,0.0,52.57941666666667,30.0,0,53.1,0.2
212,cramped_room,0.221025,88.41,0.9823333333333333,0.0,0.0,52.869116666666656,90.0,0,53.4,0.2
213,forced_coordination,0.07366874999999999,29.467499999999998,0.98225,0.0,0.0,51.97509166666666,30.0,0,52.5,0.2
214,forced_coordination,0.0736625,29.465,0.9821666666666666,0.0,0.0,51.67544166666666,30.0,0,52.2,0.2
215,forced_coordination,0.07365624999999999,29.4625,0.9820833333333333,0.0,0.0,51.17773333333333,30.0,0,51.7,0.2
216,forced_coordination,0.0,0.0,0.982,0.0,0.0,50.88063333333333,0.0,0,51.4,0.2
217,forced_coordination,0.07364375,29.4575,0.9819166666666667,0.0,0.0,50.08593333333333,30.0,0,50.6,0.2
218,asymmetric_advantages,0.3436416666666666,137.45666666666665,0.9818333333333333,0.0,0.0,51.16344999999999,140.0,0,51.7,0.2
219,cramped_room,0.07363125,29.4525,0.98175,0.0,0.0,50.66590833333335,30.0,0,51.2,0.2
220,asymmetric_advantages,0.34358333333333335,137.43333333333334,0.9816666666666667,0.0,0.0,51.545241666666676,140.0,0,52.1,0.2
221,cramped_room,0.12269791666666667,49.079166666666666,0.9815833333333334,0.0,0.0,50.65015,50.0,0,51.2,0.2
222,forced_coordination,0.0736125,29.445,0.9815,0.0,0.0,50.350699999999996,30.0,0,50.9,0.2
223,cramped_room,0.14721250000000002,58.885000000000005,0.9814166666666667,0.0,0.0,50.93954999999999,60.0,0,51.5,0.2
224,asymmetric_advantages,0.0,0.0,0.9813333333333333,0.0,0.0,50.642649999999996,0.0,0,51.2,0.2
225,forced_coordination,0.1471875,58.875,0.98125,0.0,0.0,50.439733333333336,60.0,0,51.0,0.2
226,asymmetric_advantages,0.0,0.0,0.9811666666666666,0.0,0.0,50.14288333333334,0.0,0,50.7,0.2
